Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality,Area_in_Gaj
509,3 BHK Builder Floor,1,Unfurnished,Bachelors/Family,1620 sqft,15000,fort view hydershakote bandlaguda chevella road,180.0
510,2 BHK Builder Floor,1,Furnished,Bachelors/Family,850 sqft,28000,mehdipatnam,94.44444444444444
511,3 BHK Apartment,West,Semi-Furnished,Family,1400 sqft,18000,nagole,155.55555555555554
512,2 BHK Apartment,1,Furnished,Bachelors/Family,850 sqft,30000,hakimpethyderabad,94.44444444444444
513,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1375 sqft,22000,quadri happy homes paradise amberpet,152.77777777777777
514,2 BHK Apartment,East,Furnished,Family,1125 sqft,19000,gajularamaram,125.0
515,3 BHK Apartment,1,Semi-Furnished,Bachelors,1675 sqft,30000,ameerpet nh,186.11111111111111
516,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1600 sqft,18000,rasoolpura mahatma gandhi road,177.77777777777777
517,3 BHK Apartment,East,Family,2,1550 sqft,23000,kphb colony,172.22222222222223
518,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1834 sqft,42000,narsingi outer ring road,203.77777777777777
519,3 BHK Apartment,3,Furnished,Bachelors/Family,2000 sqft,24000,pocharam nh,222.22222222222223
520,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1800 sqft,14000,boduppal nh,200.0
521,3 BHK Service Apartment,2,Unfurnished,Bachelors/Family,1600 sqft,16000,chandanagar nh,177.77777777777777
522,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1400 sqft,25000,raghavendra colony nh,155.55555555555554
523,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1400 sqft,21500,puppalaguda,155.55555555555554
524,3 BHK Apartment,2,Furnished,Bachelors,1600 sqft,40000,my home avatar narsingi outer ring road,177.77777777777777
525,2 BHK Apartment,2,Furnished,Bachelors,1162 sqft,30000,aliens fast track madhapur,129.11111111111111
526,2 BHK Apartment,3,Unfurnished,Bachelors,1461 sqft,23000,kkrs fountainhead miyapur nh,162.33333333333334
527,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2358 sqft,35000,pearl celestial kokapet outer ring road,262.0
528,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1100 sqft,12000,military dairy farm rd,122.22222222222223
529,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1150 sqft,15000,skanda srinivasam isnapur outer ring road,127.77777777777777
531,3 BHK Apartment,West,Furnished,Bachelors/Family,2260 sqft,50000,green grace gachibowli outer ring road,251.11111111111111
532,2 BHK Apartment,2,Semi-Furnished,Family,1205 sqft,22000,vazhraa nirmaan pushpak madhura nagarnizampet,133.88888888888889
533,2 BHK Apartment,2,Unfurnished,Bachelors,600 sqft,16000,papulguda,66.66666666666667
